# RA DEC
6.633358200000000204e-02 -4.394943899999999815e+01
2.499118100000000120e-01 -5.780642399999999981e+01
2.767992000000000230e-01 -4.871315100000000342e+01
3.610300900000000257e-01 -4.041079500000000024e+01
4.028977100000000200e-01 -6.298084800000000172e+01
4.058657500000000251e-01 -5.466969499999999726e+01
5.138137799999999977e-01 -5.596206200000000308e+01
6.433170599999999961e-01 -5.240924600000000311e+01
7.842354999999999743e-01 -4.193073199999999900e+01
1.751369500000000023e+00 -4.711594999999999800e+01
2.740800099999999961e+00 -5.120773599999999703e+01
2.977938299999999927e+00 -4.623511899999999741e+01
3.064885100000000140e+00 -5.387357800000000196e+01
3.302944300000000055e+00 -5.723733800000000116e+01
3.328994199999999903e+00 -4.911511699999999792e+01
3.411097300000000221e+00 -5.317182100000000133e+01
3.471473899999999890e+00 -4.635631500000000216e+01
3.696893600000000113e+00 -4.987716999999999956e+01
3.743278399999999895e+00 -4.060311000000000092e+01
3.882411999999999974e+00 -6.000011700000000303e+01
4.759977100000000405e+00 -4.085963699999999932e+01
4.831265100000000423e+00 -5.545283599999999780e+01
5.381125400000000170e+00 -4.903602099999999808e+01
5.548892999999999631e+00 -4.173661100000000346e+01
5.667246600000000356e+00 -4.298084599999999966e+01
6.367072199999999960e+00 -5.057159200000000254e+01
6.491467899999999958e+00 -4.155404200000000259e+01
6.822767599999999710e+00 -5.025238000000000227e+01
6.915845299999999973e+00 -4.771510200000000168e+01
6.943548800000000298e+00 -6.343005699999999791e+01
7.018413999999999930e+00 -4.144506899999999661e+01
7.515035499999999757e+00 -4.496402799999999900e+01
7.533823700000000123e+00 -5.222403400000000318e+01
8.476725000000000065e+00 -6.344628000000000156e+01
8.590583099999999916e+00 -5.590129300000000256e+01
9.175810500000000758e+00 -4.418490200000000101e+01
9.444144500000000164e+00 -5.079714799999999997e+01
9.720425499999999275e+00 -5.273901200000000244e+01
1.020483600000000024e+01 -4.413292599999999766e+01
1.025129699999999922e+01 -4.447846299999999786e+01
1.029315500000000050e+01 -5.112856399999999724e+01
1.096964200000000034e+01 -4.872350800000000248e+01
1.112320700000000073e+01 -4.062817499999999882e+01
1.119214700000000029e+01 -4.100163200000000074e+01
1.182066099999999942e+01 -4.511305999999999727e+01
1.209005100000000077e+01 -5.274873099999999937e+01
1.217425000000000068e+01 -4.484754099999999966e+01
1.223721199999999953e+01 -6.426902599999999666e+01
1.224834500000000048e+01 -4.580182700000000295e+01
1.236925600000000003e+01 -4.570990199999999959e+01
1.238249399999999945e+01 -5.325051799999999957e+01
1.279046100000000052e+01 -4.857757900000000006e+01
1.316207200000000022e+01 -5.696059000000000339e+01
1.319298200000000065e+01 -4.586048799999999659e+01
1.359084200000000031e+01 -4.077593900000000104e+01
1.457990200000000058e+01 -6.176351999999999975e+01
1.477739500000000028e+01 -5.109341500000000025e+01
1.501627200000000073e+01 -5.398481799999999708e+01
1.566901299999999964e+01 -4.606472600000000028e+01
1.572942699999999938e+01 -4.926107199999999864e+01
1.591442400000000035e+01 -4.283337300000000170e+01
1.612896100000000033e+01 -4.386399000000000115e+01
1.639075199999999910e+01 -5.397174900000000264e+01
1.657051600000000136e+01 -5.392807299999999771e+01
1.661522599999999983e+01 -5.972135699999999758e+01
1.688569299999999984e+01 -4.891713500000000181e+01
1.691022099999999995e+01 -5.855200200000000166e+01
1.712859399999999965e+01 -4.369225600000000043e+01
1.713869000000000042e+01 -4.699545499999999976e+01
1.747722500000000068e+01 -4.076592200000000332e+01
1.758606800000000092e+01 -4.475955799999999840e+01
1.776857700000000051e+01 -5.441513599999999684e+01
1.784037800000000118e+01 -5.830041899999999799e+01
1.784455600000000075e+01 -5.531379299999999688e+01
1.802571899999999872e+01 -4.094560200000000094e+01
1.803542799999999957e+01 -5.050743200000000144e+01
1.839804000000000173e+01 -6.109406299999999845e+01
1.868123800000000045e+01 -4.139678899999999828e+01
1.936452399999999940e+01 -6.054030099999999948e+01
1.949421699999999902e+01 -4.629400400000000104e+01
1.953854700000000122e+01 -5.663394699999999915e+01
1.959896499999999975e+01 -5.194344799999999651e+01
1.972027699999999939e+01 -4.496620699999999715e+01
1.990648300000000148e+01 -5.932926400000000200e+01
2.079226500000000044e+01 -4.835884800000000183e+01
2.114538200000000145e+01 -4.302077899999999744e+01
2.119882399999999834e+01 -5.962551100000000304e+01
2.243465799999999888e+01 -6.454492299999999716e+01
2.285646600000000106e+01 -5.936169799999999697e+01
2.293307000000000073e+01 -5.608214100000000002e+01
2.341028100000000123e+01 -6.456677600000000439e+01
2.379183799999999849e+01 -5.903609399999999852e+01
2.397530199999999923e+01 -5.908136199999999860e+01
2.489893899999999860e+01 -5.208252399999999938e+01
2.493528399999999934e+01 -5.514903100000000080e+01
2.516761599999999888e+01 -4.856308800000000048e+01
2.554515900000000173e+01 -5.054377199999999704e+01
2.588534399999999991e+01 -4.487409399999999948e+01
2.614634300000000167e+01 -4.196006599999999764e+01
2.617953599999999881e+01 -4.812812900000000127e+01
2.626449099999999959e+01 -5.302948800000000062e+01
2.628240200000000115e+01 -4.443896800000000269e+01
2.629583600000000132e+01 -6.055935800000000313e+01
2.643965800000000144e+01 -5.068124399999999952e+01
2.665028500000000022e+01 -6.143654000000000082e+01
2.696521399999999957e+01 -5.637786599999999737e+01
2.709847999999999857e+01 -4.530233199999999982e+01
2.724136800000000136e+01 -4.700478199999999873e+01
2.764827500000000171e+01 -4.518935199999999952e+01
